name,price,volume24h,volume7d,volume30d,lastUpdated,marketCapByTotalSupply
Curve DAO Token,0.969564932,45759523.59,349802181.8,1443746079,2023-04-26T16:28:00.000Z,1879177485
Optimism,2.31415394,118377222.5,861353379.7,2770160924,2023-04-26T16:28:00.000Z,9939215492
USDD,0.988034863,13789275.77,100555652.9,376833460,2023-04-26T16:28:00.000Z,716653338.9
Klaytn,0.231829996,27921206.67,183607904.5,786563305.4,2023-04-26T16:28:00.000Z,1330377757
Injective,8.807275987,270688618.2,1931271584,7948188500,2023-04-26T16:28:00.000Z,880727598.7
Maker,715.8787783,26374851.52,182870276.3,636830493.8,2023-04-26T16:28:00.000Z,699865312.3
Bitcoin SV,34.84967935,31071366.41,212993302.4,955544930.6,2023-04-26T16:28:00.000Z,671416593.4
Synthetix,2.58968321,52567574.15,366792868.8,1149869285,2023-04-26T16:28:00.000Z,821766669.7
Terra Classic,0.000113508,44096142.9,299001065.6,1169774318,2023-04-26T16:28:00.000Z,778196373.1
GMX,77.10864566,68865488.56,510155561.3,1873750243,2023-04-26T16:28:00.000Z,695352706.9
Mina,0.705828947,19835355.74,145014284.5,501845636.9,2023-04-26T16:28:00.000Z,724411851.1
Zcash,38.48560584,30728855.85,235800535.1,708845890,2023-04-26T16:28:00.000Z,628403315.1
BitTorrent(New),6.57E-07,23833297.25,151613198.8,716754705.9,2023-04-26T16:28:00.000Z,650120162.2
Casper,0.056004373,16613378.28,106247529.2,328300142.1,2023-04-26T16:28:00.000Z,653521360.4
Frax Share,8.548951479,27329833.45,176169389.5,521887238.8,2023-04-26T16:28:00.000Z,853381847.6
Huobi Token,3.691423571,8006917.084,57017313.14,229895735.5,2023-04-26T16:28:00.000Z,752978222.6
Dash,52.62304523,84262986.01,631162602,2653264512,2023-04-26T16:28:00.000Z,591859547.6
eCash,3.04E-05,11966237.14,91888482.14,154077490.3,2023-04-26T16:28:00.000Z,588080662.5
IOTA,0.20685446,7646283.839,56097263.41,219770228,2023-04-26T16:28:00.000Z,574958236.9
XDC Network,0.040841541,5464683.051,41870926.01,140018774.9,2023-04-26T16:28:00.000Z,1539930806
PAX Gold,1995.086967,16814440.29,103808658.3,359500041.9,2023-04-26T16:28:00.000Z,541194692.3
PancakeSwap,2.732201892,92580582.9,644567483.6,2719853119,2023-04-26T16:28:00.000Z,1050708634
GateToken,5.336896471,784172.6167,5624421.392,23033449.04,2023-04-26T16:28:00.000Z,1601068941
Trust Wallet Token,1.194658916,17032213.15,124559069.9,386883187.4,2023-04-26T16:28:00.000Z,1194262466
Zilliqa,0.030760541,72618605.02,463730104.4,2062044702,2023-04-26T16:28:00.000Z,536686358.2
Loopring,0.364565978,23030316.35,169446112.7,507668010.9,2023-04-26T16:28:00.000Z,500867499.2
Gemini Dollar,1.012092814,640128.934,4317814.402,24327076.7,2023-04-26T16:28:00.000Z,482642309.8
Flare,0.032672923,6744128.95,43352161.77,187972289,2023-04-26T16:28:00.000Z,3285582181
WOO Network,0.284190169,54727466.75,396532777.6,1263334049,2023-04-26T16:28:00.000Z,639615121.9
THORChain,1.426810161,39970640.36,294409916.4,1277933145,2023-04-26T16:28:00.000Z,693505660.1
SingularityNET,0.362001988,43198527.2,313238349.5,1086989884,2023-04-26T16:28:00.000Z,464393507.3
Convex Finance,5.511138425,6905651.472,53133860.49,175092636.2,2023-04-26T16:28:00.000Z,540157156.8
dYdX,2.67614977,107457076.5,743992227.6,2630519889,2023-04-26T16:28:00.000Z,2676149770
Enjin Coin,0.411195078,16207467.92,102644407.7,503549226.2,2023-04-26T16:28:00.000Z,411195077.8
1inch Network,0.503031644,17866992.57,125880609.9,402474489.2,2023-04-26T16:28:00.000Z,754547465.7
Kava,0.828774854,21694929.03,146116220.3,522883543.6,2023-04-26T16:28:00.000Z,410015721.8
Nexo,0.715027225,7366253.569,35089566.68,137403415.7,2023-04-26T16:28:00.000Z,715027225
Basic Attention Token,0.26129102,17662046.33,116992141.1,529403504.9,2023-04-26T16:28:00.000Z,391936529.5
Osmosis,0.774326406,8806694.431,59681591.87,246872532.5,2023-04-26T16:28:00.000Z,251656081.9
